Data;Cód. Assessor;Cód. Conta;Perfil de Investimentos;Custódia Total;Política Cadastrada;Política Sugerida;Segmentação;Aderência da Carteira;Gap Over;Gap Under;% Rentabilidade Relativa;% Saldo Global
202606;A51229;3404470;MODERADO;R$ 2.081.194;Conservadora;Conservadora;6-1M-5M;83,0%;R$ 348.479;R$ 36.070;49%;0%
202606;A51229;2741160;AGRESSIVO;R$ 1.023.505;Moderada;Conservadora;6-1M-5M;75,2%;R$ 251.982;R$ 8.863;;0%
202606;A51229;14688543;AGRESSIVO;R$ 599.378;Sofisticada;Moderada;5-500k-1M;75,3%;R$ 148.063;R$ 473;100%;5%
202606;A51229;15687600;AGRESSIVO;R$ 448.290;Sofisticada;Conservadora;4-300k-500k;28,9%;R$ 318.853;R$ 0;102%;0%
202606;A51229;16108613;AGRESSIVO;R$ 289.716;Moderada;Sofisticada;3-100k-300k;51,4%;R$ 140.706;R$ 416;2%;0%
202606;A51229;11886568;AGRESSIVO;R$ 223.794;Moderada;Sofisticada;3-100k-300k;82,1%;R$ 39.317;R$ 3.827;71%;0%
202606;A51229;18357854;MODERADO;R$ 209.909;Conservadora;Moderada;3-100k-300k;85,9%;R$ 29.584;R$ 138;-38%;0%
202606;A51229;18667125;AGRESSIVO;R$ 168.943;Sofisticada;Sofisticada;3-100k-300k;12,0%;R$ 148.670;R$ 0;;0%
202606;A51229;2951798;AGRESSIVO;R$ 158.171;Moderada;Moderada;3-100k-300k;91,2%;R$ 13.845;R$ 132;76%;0%
202606;A51229;11015229;AGRESSIVO;R$ 152.137;Moderada;Sofisticada;3-100k-300k;40,3%;R$ 87.148;R$ 6.271;39%;3%
202606;A51229;18484152;AGRESSIVO;R$ 117.736;Sofisticada;Sofisticada;3-100k-300k;85,3%;R$ 16.397;R$ 6.005;88%;13%
202606;A51229;2671193;AGRESSIVO;R$ 105.147;Conservadora;Sofisticada;3-100k-300k;49,3%;R$ 50.719;R$ 5.085;82%;0%
202606;A51229;572257;AGRESSIVO;R$ 104.524;Moderada;Conservadora;3-100k-300k;50,8%;R$ 51.365;R$ 188;93%;0%
202606;A51229;18328774;AGRESSIVO;R$ 98.671;Conservadora;Moderada;2-50k-100k;84,5%;R$ 13.830;R$ 9.581;104%;0%
202606;A51229;11904463;AGRESSIVO;R$ 90.278;Moderada;Moderada;2-50k-100k;84,5%;R$ 13.713;R$ 1.942;69%;0%
202606;A51229;18437228;MODERADO;R$ 83.047;Conservadora;Moderada;2-50k-100k;71,8%;R$ 23.388;R$ 122;120%;0%
202606;A51229;19113170;MODERADO;R$ 81.956;Conservadora;Moderada;2-50k-100k;65,4%;R$ 27.461;R$ 2.592;98%;0%
202606;A51229;4646870;AGRESSIVO;R$ 80.016;Moderada;Sofisticada;2-50k-100k;20,4%;R$ 63.585;R$ 95;100%;0%
202606;A51229;4106323;MODERADO;R$ 76.805;Conservadora;Sofisticada;2-50k-100k;27,6%;R$ 55.028;R$ 828;23%;0%
202606;A51229;18892189;AGRESSIVO;R$ 75.129;Moderada;Sofisticada;2-50k-100k;37,6%;R$ 46.847;R$ 1;6%;0%
202606;A51229;16127357;AGRESSIVO;R$ 73.836;Moderada;Sofisticada;2-50k-100k;72,0%;R$ 20.525;R$ 459;89%;0%
202606;A51229;17788598;AGRESSIVO;R$ 69.942;Moderada;Moderada;2-50k-100k;79,6%;R$ 14.146;R$ 561;81%;0%
202606;A51229;17117192;MODERADO;R$ 68.755;Conservadora;Sofisticada;2-50k-100k;57,7%;R$ 29.013;R$ 92;117%;0%
202606;A51229;3369245;AGRESSIVO;R$ 67.166;Moderada;Sofisticada;2-50k-100k;21,3%;R$ 52.823;R$ 67;20%;0%
202606;A51229;17108806;AGRESSIVO;R$ 64.922;Sofisticada;Sofisticada;2-50k-100k;55,1%;R$ 27.078;R$ 4.613;96%;0%
202606;A51229;4407536;MODERADO;R$ 62.878;Conservadora;Moderada;2-50k-100k;66,1%;R$ 21.222;R$ 344;107%;0%
202606;A51229;15531487;MODERADO;R$ 62.042;Conservadora;Moderada;2-50k-100k;59,2%;R$ 24.950;R$ 852;107%;0%
202606;A51229;16603288;MODERADO;R$ 61.257;Conservadora;Moderada;2-50k-100k;82,5%;R$ 10.667;R$ 300;117%;0%
202606;A51229;4066759;AGRESSIVO;R$ 61.186;Moderada;Sofisticada;2-50k-100k;51,9%;R$ 29.394;R$ 114;;0%
202606;A51229;3534901;AGRESSIVO;R$ 60.804;Conservadora;Sofisticada;2-50k-100k;11,4%;R$ 52.809;R$ 1.207;123%;0%
202606;A51229;17407896;MODERADO;R$ 55.760;Conservadora;Sofisticada;2-50k-100k;45,7%;R$ 29.990;R$ 549;63%;0%
